record_id,memberid,firstname,lastname,dob,gender,hicn,address1,city,state,zip,phone
6,9781761088735,Lonie,Waelchi,1978-10-05,F,508272470,55113 Jedidiah Crossroad,South Garnett,KY,96056-3429,740-498-4713 x511
7,9781866907269,Hermina,McKenzie,1989-08-26,F,190564380,1584 Jeanne Glens,Vickieland,NY,92210,061.809.8001
8,9790904335988,Creola,Hammes,1981-02-27,F,730836850,50071 Okuneva River,Devynburgh,VT,47214,(360) 369-1988
14,9791440448149,Bert,Emmerich,1966-07-09,F,338561450,835 Lonzo Inlet,Collinsmouth,AK,77112,444-709-4173
32,9790725822704,Parker,Jones,1991-11-03,F,267576480,3962 Huel Village,Lennyburgh,NJ,01873-2790,183.229.6613
34,9781763734708,Jett,Mueller,1977-10-03,M,799327102,67610 Hamill Spurs,Schusterburgh,MN,13515-6744,067-620-5061
44,9781924948739,Gilberto,Ebert,1976-03-19,F,168361664,5088 Mazie Trail,Cathyview,KY,96477-1696,975-917-2071 x001
47,9791988034606,Amani,Buckridge,1957-10-23,M,310588065,90822 Angelita Trafficway,Steuberfort,IN,30778,117.864.9814
49,9780819471628,Orlando,Predovic,1969-08-08,F,027071848,835 Huels Lights,Boton,AL,66864,058.049.7465
54,9781870324403,Cale,Langworth,1976-12-22,M,761644132,21799 Stanley Rapid,Estelside,SC,31211,998.547.4118 x6680
59,9781064371954,Magnolia,Langosh,1965-07-19,F,205564856,228 Moshe Fords,Lake Hassiemouth,CA,46559-3649,859.097.6130 x180
62,9781104655631,Nyah,Zemlak,1966-04-16,F,166871268,5615 Paucek Road,Port Dayanaberg,FL,36800-6509,611-091-1404
63,9791198700285,Leta,Rohan,1996-01-13,F,509916103,810 Hilll Locks,Altenwerthberg,KY,12626,161-625-0779 x96104
65,9790136204038,Grady,Gislason,1986-02-28,M,042033308,5016 Carley Light,Spencershire,VA,60588,1-704-490-5179 x0543
70,9781917707220,Mylene,Streich,1962-09-24,M,164629053,48367 Braeden Motorway,Rosalindfort,NH,62317-0106,1-391-577-9253
71,9790856622259,Gonzalo,Crona,1971-01-05,F,664830250,776 Dulce Parks,Lake Dangelo,MD,22665,152-349-9835 x87604
76,9781851183012,Erin,Macejkovic,1992-04-14,M,867875432,97567 Abbott Center,Simoneborough,AK,27131,(971) 031-4492
78,9790021424084,Theodora,Cartwright,1972-04-12,M,631394228,57603 Tito Viaduct,Lake Delaneyburgh,DE,97016-5394,(730) 645-0822 x0237
87,9780181906025,Rebekah,Collins,1989-05-23,M,342153228,5881 Beier Points,Amandaborough,VA,07293,304-729-6799
96,9791907606747,Scotty,Wehner,1997-07-06,M,320078070,194 Wintheiser Mountains,Janetview,MT,26979-6056,236.903.1193 x26935
104,9781701577169,Pietro,Reilly,1985-04-06,F,108410845,574 Wolff Isle,Lake Dorothea,GA,29944,1-086-548-6395 x817
111,9791894696233,Lester,Wuckert,1998-09-14,F,376695752,9774 Gleason Crossing,South Colleenville,AR,93818,1-827-810-9641
116,9780944386125,Joel,Ward,1995-03-24,M,122044591,6962 Vesta Ramp,West Joshuahbury,TX,37107,806-387-8333 x4121
117,9781598861716,Benedict,Daugherty,1956-04-05,F,575260716,1825 Mante Crescent,Lake Clementinemouth,GA,70724-5611,(719) 648-0346 x061
127,9791909361064,Valerie,Franecki,1988-12-23,M,392502509,5030 Heller Alley,South Danial,WA,10115,034-830-0190 x790
132,9791803819760,Caden,Koepp,1972-09-27,M,359764858,7014 Jonathan Groves,Lake Matthaven,NE,94849,630.606.1172
133,9790504160584,Rubie,MacGyver,1953-06-10,F,667521625,0207 Tiara Inlet,West Helenachester,MT,78745-2306,(411) 552-4698 x8539
134,9780951498446,Charity,Marquardt,1973-01-13,F,114120820,56428 Macejkovic Hill,Ankundingville,WI,97430,294-575-9429 x96920
138,9781936650354,Annabel,Sawayn,1970-04-25,M,820763413,830 Camila Trace,South Guadalupe,AZ,60504,976-817-2057 x76068
147,9791443346701,Cicero,Ziemann,1993-05-10,M,771102485,990 Aufderhar Fort,Lake Joanneburgh,NV,13252,(743) 857-9441 x665
154,9780792807223,Glennie,Weimann,1969-11-25,F,489269021,63093 Lera Trace,Walkermouth,MO,80386-5551,936-661-7798 x3486
168,9780868424736,Gay,Wisozk,1989-01-26,F,842270378,521 Monica Trace,Botsfordchester,MD,66595,900-139-7202 x94524
170,9781996559611,Adeline,Kuvalis,1969-05-28,F,970471382,95214 Hazel Walks,Dwightberg,ND,40924-8744,757-939-2758
174,9781176827141,Edwin,Kilback,1969-12-20,M,861025616,98835 Reichert Center,South Berniecetown,ND,72109-9961,1-676-787-6921
177,9780791714126,Joaquin,Baumbach,1974-04-03,M,606466883,562 Renner Islands,Emmettchester,DE,01032-7430,1-550-765-0226
194,9781868885794,Darrion,Smitham,1963-03-19,F,327381632,579 Nader Hill,Mooreburgh,MN,71483,508-170-2687
195,9791795326765,Eugene,Wuckert,1982-10-16,M,406974424,0577 Schowalter Garden,Quigleyberg,HI,64436-2861,052.893.8353 x45926
202,9790970080065,Ottilie,Bartoletti,1988-06-07,M,455331716,438 Ashleigh Village,Port Nya,IL,17225-4959,1-067-160-6111
206,9790988201957,Brock,Keebler,1956-12-09,F,783915123,66929 Koss Crest,North Derek,NH,89507-8626,668.094.5597
208,9791063457146,Irving,Lebsack,1961-08-31,M,073001457,42972 Bell Row,South Mohammad,NC,05111-0925,550-992-8128
210,9781730774263,Dan,Bergnaum,1955-12-12,F,717680811,4694 Towne Forge,Port Carmel,WV,48067-8489,(002) 112-4248 x880
228,9780878231379,Zoila,Hoeger,1989-06-09,M,707066137,601 London Run,New Martina,AK,23258-3372,(520) 992-7633 x78379
236,9780152301187,Miracle,Stark,1989-03-14,F,760796215,96977 Morar Path,Mosciskiborough,MN,24145-8434,(196) 860-9971 x9529
254,9791324002375,Mack,Tillman,1982-04-27,F,650619177,774 Caleb Dale,Swaniawskimouth,AK,06148,(688) 824-6255 x1743
257,9781860722622,Ruben,Mohr,1994-02-18,M,492202206,02013 Lea Court,West Blanchechester,WI,22798-1483,(425) 493-3781 x09288
259,9781100758275,Iva,Grady,1981-03-16,F,172501911,1113 Jefferey Burgs,Zemlaktown,AZ,64140,1-856-272-7711 x1162
260,9790831644177,Uriah,Kshlerin,1991-11-25,M,550138608,945 Harry Row,Farrellland,AK,64118-1384,1-281-583-2132 x11011
261,9791961321310,Elisabeth,Murray,1999-08-23,M,167658888,5300 Denesik Street,Lake Crawford,LA,83250-3956,(499) 003-7643
264,9791874116058,Bertram,Koepp,1990-08-05,F,548131917,01971 Okuneva Well,Port Roderickstad,KY,84878,939.983.9931
265,9781938578786,Doug,McLaughlin,1968-12-11,M,645073618,053 Abe Station,Christiansenburgh,NJ,64565-8140,333-048-8550 x8484
266,9780892732876,Taryn,Stanton,1960-09-24,M,105333002,3694 Shields Cove,East Clayport,PA,97385,1-174-312-0996
268,9790911710556,Jackeline,Bashirian,1959-07-06,F,650799671,1045 Kerluke Manors,Danielton,MT,01238-2969,1-880-207-7844
272,9791993036671,Maida,Zieme,1989-07-06,F,864413540,20080 Bernhard Heights,Corkeryberg,RI,22476-6906,(115) 851-0454 x6239
273,9780863615535,Amiya,Schuster,1980-01-04,F,846425549,54921 Scottie River,Port Rusty,UT,22496,687.212.1179
274,9780574072375,Kaylee,Hamill,1994-09-04,M,345682078,3212 Rice Ramp,Veumfort,OH,34834,1-917-883-4474
277,9780059125824,Wilfred,Thiel,1953-01-30,M,232052708,814 Erdman Hill,Goyettefort,IA,71357,1-596-346-0189
279,9780945222637,Lavinia,McDermott,1965-05-06,M,903764614,493 Haylee Divide,East Wilbert,PA,79933,116-548-3627
280,9781688210325,Destany,Hills,1968-01-31,F,330646152,57461 Nathan Street,Kristyview,WY,81639-5411,1-962-063-7962 x93431
281,9781761107740,Theresia,Purdy,1956-04-05,M,062030743,8411 Laura Mews,East Svenmouth,NE,81752,1-308-744-8076 x0826
285,9791787642460,Russ,Muller,1973-07-12,M,297377834,77050 Feest Underpass,Jadonview,AK,94809-4596,772.395.4072
290,9781964785318,Enoch,Wolff,1988-08-03,M,626275864,639 Nitzsche Lodge,Dandrestad,CA,98817-5708,(805) 485-6141 x164
291,9791122606515,Stanton,Wintheiser,1974-10-20,M,514615492,665 Hilton Parks,Schimmelshire,DE,88016-8126,402-538-4272 x8774
302,9790853860395,Russ,Gleason,1999-05-16,F,950127363,45580 Thea Landing,Port Gerhardbury,WV,16529-5167,(103) 660-8409
307,9791938274816,Judy,Botsford,1996-11-21,F,810624414,6160 Myrtis Mountains,South Rashad,NM,32415,1-880-729-4571
315,9791850411221,Tess,Leffler,1995-05-16,M,642936083,297 Baylee Locks,Matildaport,VA,97854-1674,878-862-9294
317,9790486160053,Stacy,MacGyver,1999-10-16,M,011385768,029 Nicklaus Courts,South Jerod,KY,84974-1999,1-293-197-0780 x36651
318,9780932529725,Libbie,Marks,1965-08-20,F,804547684,233 Hahn Falls,Port Heatherberg,LA,85966,327.479.9811
337,9781954054806,Jeffery,Powlowski,1991-12-20,F,028020616,06800 Jordon Land,Port Jena,FL,87343-6594,(521) 658-8717
338,9780612348790,Emerald,Thiel,1995-02-09,F,852052542,687 Romaguera Garden,Lake John,SC,39043-4103,(998) 746-0566
339,9790962119872,Peter,Weber,1965-06-05,M,383220474,67840 Soledad Meadow,Isabellview,OK,89138-9687,(134) 475-1688
358,9790153445124,Mathew,Sporer,1987-01-28,F,727065034,48761 Delbert Corners,West Sincere,OH,11290-4724,241-466-7736
360,9780930762070,Asia,Lakin,1999-07-22,M,413516778,5391 Bednar Parks,Port Goldabury,AR,88045-1665,(909) 542-5350
361,9791824566513,Erica,Hamill,1987-09-30,F,526634413,47882 Jacobs Heights,Schulistchester,OH,64401,(594) 606-2183
